date,ticker,open,high,low,close,volume
2026-09-04,TSLA,362.0700073242,364.6900024414,351.3200073242,354.0799865723,64829000
2026-09-03,TSLA,365.8200073242,384.0400085449,365.8200073242,376.3699951172,63601000
2026-09-02,TSLA,360.4100036621,360.6199951172,349.9200134277,357.0100097656,33951900
2026-09-01,TSLA,360.8999938965,362.700012207,352.9599914551,356.0899963379,36193900
2026-08-31,TSLA,347.2099914551,368.9200134277,347.1499938965,367.950012207,61732300
2026-08-28,TSLA,357.1000061035,358.799987793,345.200012207,348.75,32972200
2026-08-27,TSLA,346.1600036621,355.7399902344,345.450012207,354.8099975586,30136200
2026-08-26,TSLA,345.2699890137,351.9299926758,342.5299987793,345.8200073242,28573000
2026-08-25,TSLA,349.5799865723,357.0,349.200012207,350.25,29816700
2026-08-24,TSLA,361.4100036621,363.2399902344,348.2600097656,348.950012207,39190500
2026-08-21,TSLA,349.8800048828,366.5,346.8999938965,362.8599853516,59224000
2026-08-20,TSLA,346.200012207,347.5,338.9599914551,345.1300048828,30766400
2026-08-19,TSLA,338.8900146484,351.6199951172,335.700012207,351.1199951172,36735400
2026-08-18,TSLA,333.2200012207,340.5299987793,331.1199951172,336.8699951172,27994500
2026-08-17,TSLA,340.6900024414,345.450012207,337.4800109863,339.299987793,26037100
2026-08-14,TSLA,342.3299865723,351.2600097656,335.3299865723,342.2699890137,45437100
2026-08-13,TSLA,327.200012207,341.6400146484,325.2399902344,339.9599914551,34708300
2026-08-12,TSLA,335.0,335.5,323.6400146484,327.5100097656,28698900
2026-08-11,TSLA,332.799987793,336.200012207,329.5299987793,332.8099975586,23345200
2026-08-10,TSLA,326.6000061035,332.049987793,326.1499938965,330.8800048828,25003800
