date,ticker,open,high,low,close,volume
2025-04-17,AAPL,197.1999969482,198.8300018311,194.4199981689,196.9799957275,51334300
2025-04-16,AAPL,198.3600006104,200.6999969482,192.3699951172,194.2700042725,59732400
2025-04-15,AAPL,201.8600006104,203.5099945068,199.8000030518,202.1399993896,51343900
2025-04-14,AAPL,211.4400024414,212.9400024414,201.1600036621,202.5200042725,101352900
2025-04-11,AAPL,186.1000061035,199.5399932861,186.0599975586,198.1499938965,87435900
2025-04-10,AAPL,189.0700073242,194.7799987793,183.0,190.4199981689,121880000
2025-04-09,AAPL,171.9499969482,200.6100006104,171.8899993896,198.8500061035,184395900
2025-04-08,AAPL,186.6999969482,190.3399963379,169.2100067139,172.4199981689,120859500
2025-04-07,AAPL,177.1999969482,194.1499938965,174.6199951172,181.4600067139,160466300
2025-04-04,AAPL,193.8899993896,199.8800048828,187.3399963379,188.3800048828,125910900
2025-04-03,AAPL,205.5399932861,207.4900054932,201.25,203.1900024414,103419000
2025-04-02,AAPL,221.3200073242,225.1900024414,221.0200042725,223.8899993896,35905900
2025-04-01,AAPL,219.8099975586,223.6799926758,218.8999938965,223.1900024414,36412700
2025-03-31,AAPL,217.0099945068,225.6199951172,216.2299957275,222.1300048828,65299300
2025-03-28,AAPL,221.6699981689,223.8099975586,217.6799926758,217.8999938965,39818600
2025-03-27,AAPL,221.3899993896,224.9900054932,220.5599975586,223.8500061035,37094800
2025-03-26,AAPL,223.5099945068,225.0200042725,220.4700012207,221.5299987793,34466100
2025-03-25,AAPL,220.7700042725,224.1000061035,220.0800018311,223.75,34493600
2025-03-24,AAPL,221.0,221.4799957275,218.5800018311,220.7299957275,44299500
